params,val
Optimised_NS,0.8896216721451399
tt,0.4499999126553503
cmelt,4.196945595538292
FC,261.380949247801
Beta_1,2.371192097471373
Beta_2,6.895551862766452
PWP,233.31706530622247
L1,12.817774596697339
K_uu,0.1713275148545672
K_ul,0.10161062857848904
K_d,0.10964934457490288
k_ll,0.012580357665994838
